course_id,course_title,,,price,level,published_timestamp
1,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,,,75,All Levels,2013-01-03T00:55:31Z
2,Learning Dynamic Website Design - PHP MySQL and JavaScript,,,50,All Levels,2012-06-18T16:52:34Z
3,ChatBots: Messenger ChatBot with API.AI and Node.JS,,,50,All Levels,2016-06-30T16:57:08Z
4,Projects in HTML5,,,60,Intermediate Level,2014-06-17T05:43:50Z
5,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,,,20,Beginner Level,2015-10-17T04:52:25Z
6,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,,,40,Beginner Level,2017-01-26T22:15:02Z
7,Build Your Own Backend REST API using Django REST Framework,,,50,Intermediate Level,2017-04-27T19:21:11Z
8,Angular and Firebase - Build a Web App with Typescript,,,150,All Levels,2016-09-27T21:46:03Z
9,Web Development Masterclass - Complete Certificate Course,,,200,All Levels,2016-10-12T03:14:13Z
10,Spring Boot Tutorial For Beginners,,,40,Beginner Level,2017-01-23T15:13:53Z
11,The Complete Bootstrap Masterclass Course - Build 4 Projects,,,195,All Levels,2015-10-27T20:27:11Z
12,Scaling Docker on AWS,,,25,All Levels,2016-03-28T17:51:04Z
13,Learn JavaScript for beginners,,,200,Beginner Level,2017-03-16T20:57:12Z
14,HTML Tutorial: HTML & CSS for Beginners,,,20,All Levels,2011-09-09T15:28:59Z
15,Learn by Doing: Vue JS 2.0 the Right Way,,,95,Intermediate Level,2016-11-07T17:53:40Z
16,Learn Complete Web Development From Scratch,,,40,All Levels,2013-10-23T09:23:00Z
17,Introduction to Web Development: HTML,,,20,Beginner Level,2014-02-13T20:39:33Z
18,Web Site for Beginners - Learn Web Building like knitting,,,20,Beginner Level,2016-08-10T00:40:59Z
19,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,,,40,Beginner Level,2017-01-26T17:16:27Z
20,Web Programming with Python,,,50,All Levels,2012-04-25T00:01:43Z
21,PHP Login and Registration System - Email Confirm Activation,,,100,All Levels,2015-11-26T23:56:12Z
22,PSD to Responsive HTML5: Beginner to Advanced,,,40,All Levels,2016-10-03T21:11:56Z
23,Ultimate Web Developer Course Build 10 Websites from Scratch,,,200,Beginner Level,2016-10-10T15:09:14Z
24,Rapid Website Design with Bootstrap,,,200,Beginner Level,2016-12-02T00:45:36Z
25,Build Enterprise Applications with Angular 2 (and Angular 4),,,190,Intermediate Level,2016-11-22T14:55:35Z
26,Angular 4 (2+) Crash Course for Beginners,,,120,Beginner Level,2017-06-23T00:35:49Z
27,Accelerated JavaScript Training,,,110,All Levels,2016-07-12T18:23:35Z
28,"Beginner API development in Node, Express, ES6, & MongoDB",,,165,Beginner Level,2016-11-12T18:53:51Z
29,React JS and Redux - Mastering Web Apps,,,60,All Levels,2017-01-19T04:58:10Z
30,Web Development w/ Google’s Go (golang) Programming Language,,,65,Intermediate Level,2017-01-17T22:30:33Z
31,Git a Web Developer Job: Mastering the Modern Workflow,,,200,Beginner Level,2016-08-28T17:54:07Z
32,The Complete WordPress Website Business Course,,,150,All Levels,2016-11-01T23:50:51Z
33,The Complete HTML and CSS Course For Beginners,,,85,All Levels,2017-06-20T16:05:46Z
34,Learn  Bootstrap Development By Building 10 Projects,,,60,All Levels,2015-02-23T12:04:53Z
35,Advanced Javascript,,,200,Intermediate Level,2015-11-21T06:56:33Z
36,Dissecting Ruby on Rails 5 - Become a Professional Developer,,,195,All Levels,2017-02-07T00:40:33Z
37,The Complete Wordpress Course - Build Your Own Website Today,,,195,All Levels,2015-08-25T00:03:06Z
38,JQuery Essentials core training for Dynamic Interactive web,,,100,All Levels,2015-11-20T17:22:00Z
39,Node.js: The Essentials + API Frameworks Express KOA Sails,,,20,Beginner Level,2017-02-16T21:59:01Z
40,The Complete PHP Bootcamp Course With Video Sharing Project,,,195,Beginner Level,2017-03-21T23:50:38Z
41,Build a Single Page Application with jQuery & AJAX,,,60,Intermediate Level,2017-02-18T01:13:09Z
42,Practical CSS Website Development: Crash Course ,,,95,All Levels,2016-02-02T21:05:27Z
43,Successful website creation - everything you need to know,,,150,All Levels,2015-10-22T22:54:30Z
44,Start Writing JavaScript Today - Beginner JavaScript Course,,,100,Beginner Level,2017-03-08T22:34:43Z
45,HTML5 Essentials for Beginners,,,20,Intermediate Level,2014-03-14T21:46:36Z
46,Code a personal splash page in 1 hour,,,20,Beginner Level,2014-02-12T21:27:40Z
47,Step-by-step HTML and CSS for Absolute Beginners,,,120,Beginner Level,2013-08-26T19:10:57Z
48,Angular 4 Development Decoded,,,20,Intermediate Level,2017-06-21T16:37:46Z
49,Javascript ES6! A Complete Reference Guide to Javascript ES6,,,175,Intermediate Level,2017-04-20T16:22:34Z
50,Reactive JS:  Are you ready for the next big paradigm shift?,,,60,Intermediate Level,2016-02-23T16:50:16Z
51,Learn Python and Django: Payment Processing,,,70,All Levels,2015-02-09T15:37:56Z
52,Code your first Website using HTML & CSS: Project Learning,,,20,Beginner Level,2015-10-28T18:16:52Z
53,"React.js: Building Production Ready Apps, Start to Finish",,,50,All Levels,2016-11-10T23:48:22Z
54,Learn Object Oriented Programming PHP fundamentals bootcamp,,,100,All Levels,2015-08-11T18:52:58Z
55,Javascript Intermediate level 2 - Mastering Functions,,,100,All Levels,2016-08-30T18:20:56Z
56,1 Hour CSS,,,100,Beginner Level,2013-07-09T20:27:14Z
57,"Become a Full Stack Developer with Spring, AWS and Stripe",,,75,Intermediate Level,2016-07-08T15:47:58Z
58,Complete JQuery And JQuery UI Course For Beginner,,,80,Intermediate Level,2016-10-27T21:56:49Z
59,Learn JavaScript for Web Development,,,75,Intermediate Level,2016-10-12T16:41:11Z
60,"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",,,195,All Levels,2016-10-06T04:49:57Z
61,Complete Wordpress Theme Development Course,,,150,All Levels,2016-07-23T20:07:17Z
62,How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,,,125,All Levels,2015-03-02T19:03:21Z
63,Build A Web App With Spring Framework and Angular 2,,,145,All Levels,2016-05-08T18:47:05Z
64,Projects in Laravel: Learn Laravel Building 10 Projects,,,50,Intermediate Level,2017-06-15T20:29:49Z
65,Javascript Intermediate level 3 - JSON,,,100,All Levels,2016-08-30T17:48:52Z
66,Develop Your First App in an Hour,,,20,Beginner Level,2016-05-17T17:22:35Z
67,PHP: Ultimate guide to PHP for everyone,,,115,Beginner Level,2016-05-29T17:49:28Z
68,JavaScript DOM Dynamic Web interactive content Boot Camp,,,75,All Levels,2015-07-30T16:52:34Z
69,"Master JavaScript Programming, 3 Projects Included !!",,,20,All Levels,2017-06-27T23:16:24Z
70,HTML CSS Learn to create a website from scratch,,,50,Beginner Level,2016-08-04T21:40:35Z
71,Complete Codeigniter: From Beginner to Advanced,,,200,All Levels,2017-01-24T22:09:52Z
72,HTML 5: How I made websites in HTML5,,,135,All Levels,2014-10-23T19:43:16Z
73,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",,,95,All Levels,2016-06-20T18:48:26Z
74,Complete React JS web developer with ES6 - Build 10 projects,,,200,Beginner Level,2017-03-22T20:09:26Z
75,Complete WordPress Theme Developer Course With Bootstrap,,,150,All Levels,2016-07-01T20:06:13Z
76,The Complete Ethical Hacking Course 2.0: Python & Kali Linux,,,195,All Levels,2016-09-26T15:08:29Z
77,Dynamic JavaScript Master Class AJAX JSON Simple APIs,,,200,Intermediate Level,2016-10-24T15:36:40Z
78,Vue JS - Mastering Web Apps,,,80,All Levels,2017-04-06T16:57:56Z
79,Angular NgRx Store Masterclass - Covers Angular 4,,,150,Intermediate Level,2017-01-19T00:35:43Z
80,JavaScript the Basics - JavaScript for Beginners,,,120,Beginner Level,2016-06-09T15:13:54Z
81,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",,,195,All Levels,2017-01-16T23:50:02Z
82,"Learn SVG Animation - With HTML, CSS & Javascript",,,65,All Levels,2016-09-12T18:51:32Z
83,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",,,20,All Levels,2016-08-09T17:53:33Z
